5
Time taken in solving the query is:  0.31074976921081543  seconds. 
The query was:  sat
e4125 --->  0
e1832 --->  0
e107 --->  0
e2913 --->  0
e137 --->  0
e547 --->  0
e4129 --->  0
e2042 --->  0
e1947 --->  0
e2221 --->  0
e4018 --->  0
e2541 --->  0
e79 --->  0
e275 --->  0
e4549 --->  0
e233 --->  0
e2112 --->  0
e47 --->  0
e3418 --->  0
e3618 --->  0
e2321 --->  0
e1926 --->  0
e362 --->  0
e297 --->  0
e3621 --->  0
e2325 --->  0
e1533 --->  0
e2640 --->  0
e1346 --->  0
e4621 --->  0
e2419 --->  0
e452 --->  0
e741 --->  0
e3410 --->  0
e276 --->  0
e2119 --->  0
e2726 --->  0
e3132 --->  0
e517 --->  0
e492 --->  0
e3233 --->  0
e4134 --->  0
e2621 --->  0
e828 --->  0
e3717 --->  0
e1732 --->  0
e2843 --->  0
e4732 --->  0
e3543 --->  0
e3235 --->  0
e3642 --->  0
e1810 --->  0
e1323 --->  0
e1514 --->  0
e2148 --->  0
e2712 --->  0
e4235 --->  0
e1838 --->  0
e2329 --->  0
e4725 --->  0
e3925 --->  0
e041 --->  0
e35 --->  0
e4512 --->  0
e382 --->  0
e57 --->  0
e3435 --->  0
e1819 --->  0
e420 --->  0
e4222 --->  0
e4427 --->  0
e486 --->  0
e1245 --->  0
e2417 --->  0
e2821 --->  0
e1236 --->  0
e4315 --->  0
e228 --->  0
e526 --->  0
e544 --->  0
e930 --->  0
e1026 --->  0
e3031 --->  0
e4827 --->  0
e4520 --->  0
e4742 --->  0
e75 --->  0
e912 --->  0
e626 --->  0
e4242 --->  0
e3016 --->  0
e131 --->  0
e179 --->  0
e2322 --->  0
e1131 --->  0
e374 --->  0
e224 --->  0
e4114 --->  0
e1124 --->  0
e4330 --->  0
e307 --->  0
e1629 --->  0
e038 --->  0
e3536 --->  0
e712 --->  0
e158 --->  0
e409 --->  0
e3725 --->  0
e513 --->  0
e1237 --->  0
e4336 --->  0
e1246 --->  0
e1935 --->  0
e1929 --->  0
e2220 --->  0
e3635 --->  0
e4619 --->  0
e223 --->  0
e3737 --->  0
e4715 --->  0
e4717 --->  0
e252 --->  0
e2124 --->  0
e4649 --->  0
e1713 --->  0
e99 --->  0
e16 --->  0
e3232 --->  0
e3226 --->  0
e1736 --->  0
e637 --->  0
e3225 --->  0
e4634 --->  0
e4610 --->  0
e546 --->  0
e86 --->  0
e352 --->  0
e4245 --->  0
e516 --->  0
e4137 --->  0
e4738 --->  0
e1720 --->  0
e620 --->  0
e4632 --->  0
e2619 --->  0
e1234 --->  0
e1611 --->  0
e616 --->  0
e4415 --->  0
e3530 --->  0
e1228 --->  0
e2525 --->  0
e2022 --->  0
e4023 --->  0
e4211 --->  0
e4622 --->  0
e3415 --->  0
e3211 --->  0
e721 --->  0
e4721 --->  0
e493 --->  0
e4234 --->  0
e3229 --->  0
e2245 --->  0
e334 --->  0
e821 --->  0
e1123 --->  0
e371 --->  0
e4514 --->  0
e4647 --->  0
e475 --->  0
e210 --->  0
e2919 --->  0
e186 --->  0
e483 --->  0
e106 --->  0
e1427 --->  0
e3347 --->  0
e3431 --->  0
e722 --->  0
e3315 --->  0
e4042 --->  0
e545 --->  0
e1115 --->  0
e4216 --->  0
e3013 --->  0
e3738 --->  0
e368 --->  0
e4944 --->  0
e1921 --->  0
e3116 --->  0
e4543 --->  0
e3548 --->  0
e1112 --->  0
e2540 --->  0
e830 --->  0
e282 --->  0
e2526 --->  0
e735 --->  0
e2312 --->  0
e1448 --->  0
e198 --->  0
e2423 --->  0
e2521 --->  0
e1143 --->  0
e3922 --->  0
e4635 --->  0
e2126 --->  0
e2731 --->  0
e810 --->  0
e047 --->  0
e4310 --->  0
e1923 --->  0
e728 --->  0
e2834 --->  0
e4240 --->  0
e94 --->  0
e129 --->  0
e3529 --->  0
e402 --->  0
e949 --->  0
e4030 --->  0
e268 --->  0
e264 --->  0
e370 --->  0
e3035 --->  0
e924 --->  0
e4542 --->  0
e237 --->  0
e4312 --->  0
e4210 --->  0
e248 --->  0
e2849 --->  0
e4045 --->  0
e2432 --->  0
e436 --->  0
e157 --->  0
e49 --->  0
e1945 --->  0
e446 --->  0
e221 --->  0
e163 --->  0
e27 --->  0
e2219 --->  0
e3549 --->  0
e3945 --->  0
e2425 --->  0
e444 --->  0
e3625 --->  0
e1943 --->  0
e4043 --->  0
e4519 --->  0
e143 --->  0
e41 --->  0
e441 --->  0
e2431 --->  0
e3924 --->  0
e3133 --->  0
e78 --->  0
e419 --->  -1/256
e3242 --->  0
e1343 --->  0
